:Budget-Cleaned,:Rating-Cleaned,:Runtime-Cleaned,:Num-of-Ratings-Cleaned,:Gross-in-US-&-Canada-Cleaned,:Gross-worldwide-Cleaned,:Action,:Adventure,:Biography,:Drama,:Crime,:Animation,:Comedy,:Family,:Horror,:Mystery,:Thriller,:History,:Fantasy,:Sci-Fi,:Romance,:Music,:Sport,:Musical,:Documentary,:War,:Western,:Film-Noir,:Release-Year
1250000.0,5.6,93,473,,,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1975
3.2E7,7.1,141,161000,1.7839115E7,3.1882724E7,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2018
1.7E8,6.8,125,351000,1.72062763E8,4.00063852E8,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2010
,5.5,90,6700,11990.0,237270.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2023
2.5E7,7.3,134,12000,,,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970
2.0E8,7.6,136,742000,3.89813101E8,8.63756051E8,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
2.25E8,7.1,143,801000,2.91045518E8,6.70145518E8,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2013
6.0E7,7.7,100,257000,8.2435595E7,1.3177721E8,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
4.0E7,6.8,115,352000,3.2732301E7,4.3070915E7,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
5300000.0,7.7,128,89000,3034775.0,1.2687507E7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2021
3.0E7,8.0,137,790000,6.6208183E7,1.54117157E8,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2004
1.7E7,7.5,90,568000,1.88024361E8,3.40952971E8,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2018
1.2E8,4.3,100,174000,5.6117548E7,1.67882881E8,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2015
2.5E7,6.4,101,80000,4.3047372E7,5.2395996E7,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2015
2.07E8,7.2,187,440000,2.18080025E8,5.56906378E8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2005
5.0E7,6.9,106,643000,2.18815487E8,5.49368315E8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
1.4E8,6.5,130,176000,1.82618434E8,3.28718434E8,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000
1.5E7,8.0,120,868000,1.41319928E8,3.78410542E8,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2008
4.2E7,7.8,187,159000,1.5156051E7,1.66611197E8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
1.3E7,7.9,103,538000,1.7742948E7,3.3384127E7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
,6.3,104,59000,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2021
1.05E7,6.8,97,201000,3.8773785E7,7.6347426E7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1999
